transaction time: 0.902s; total transactions: 377; average time: 1.96638
transaction time: 0.763s; total transactions: 378; average time: 1.96320
transaction time: 2.686s; total transactions: 379; average time: 1.96510
transaction time: 1.499s; total transactions: 380; average time: 1.96388
transaction time: 1.225s; total transactions: 381; average time: 1.96194
transaction time: 2.388s; total transactions: 382; average time: 1.96305
transaction time: 2.277s; total transactions: 383; average time: 1.96387
transaction time: 1.835s; total transactions: 384; average time: 1.96354
transaction time: 2.857s; total transactions: 385; average time: 1.96586
transaction time: 1.305s; total transactions: 386; average time: 1.96415
transaction time: 2.416s; total transactions: 387; average time: 1.96531
transaction time: 3.116s; total transactions: 388; average time: 1.96828
transaction time: 6.21s; total transactions: 389; average time: 1.97918
transaction time: 3.331s; total transactions: 390; average time: 1.98265
transaction time: 3.867s; total transactions: 391; average time: 1.98747
transaction time: 0.935s; total transactions: 392; average time: 1.98478
transaction time: 3.095s; total transactions: 393; average time: 1.98761
transaction time: 2.34s; total transactions: 394; average time: 1.98850
transaction time: 2.286s; total transactions: 395; average time: 1.98926
transaction time: 0.861s; total transactions: 396; average time: 1.98641
transaction time: 1.15s; total transactions: 397; average time: 1.98430
transaction time: 5.319s; total transactions: 398; average time: 1.99268
transaction time: 6.381s; total transactions: 399; average time: 2.00368
transaction time: 0.583s; total transactions: 400; average time: 2.00013
transaction time: 1.182s; total transactions: 401; average time: 1.99808
transaction time: 4.546s; total transactions: 402; average time: 2.00442
transaction time: 0.599s; total transactions: 403; average time: 2.00094
transaction time: 7.433s; total transactions: 404; average time: 2.01438
transaction time: 1.115s; total transactions: 405; average time: 2.01216
transaction time: 3.356s; total transactions: 406; average time: 2.01547
transaction time: 2.953s; total transactions: 407; average time: 2.01777
transaction time: 1.756s; total transactions: 408; average time: 2.01713
transaction time: 12.06s; total transactions: 409; average time: 2.04169
transaction time: 4.068s; total transactions: 410; average time: 2.04663
transaction time: 2.735s; total transactions: 411; average time: 2.04830
transaction time: 4.463s; total transactions: 412; average time: 2.05417
transaction time: 2.239s; total transactions: 413; average time: 2.05461
transaction time: 0.64s; total transactions: 414; average time: 2.05120
transaction time: 1.124s; total transactions: 415; average time: 2.04896
transaction time: 2.421s; total transactions: 416; average time: 2.04986
transaction time: 0.855s; total transactions: 417; average time: 2.04699
transaction time: 2.983s; total transactions: 418; average time: 2.04923
transaction time: 1.311s; total transactions: 419; average time: 2.04747
transaction time: 3.193s; total transactions: 420; average time: 2.05020
transaction time: 6.038s; total transactions: 421; average time: 2.05967
transaction time: 1.345s; total transactions: 422; average time: 2.05797
transaction time: 1.846s; total transactions: 423; average time: 2.05747
transaction time: 1.927s; total transactions: 424; average time: 2.05717
transaction time: 1.322s; total transactions: 425; average time: 2.05544
transaction time: 2.085s; total transactions: 426; average time: 2.05550
transaction time: 0.607s; total transactions: 427; average time: 2.05211
transaction time: 4.973s; total transactions: 428; average time: 2.05894
transaction time: 0.841s; total transactions: 429; average time: 2.05610
transaction time: 2.276s; total transactions: 430; average time: 2.05661
transaction time: 0.66s; total transactions: 431; average time: 2.05337
transaction time: 0.595s; total transactions: 432; average time: 2.04999
transaction time: 2.828s; total transactions: 433; average time: 2.05179
transaction time: 1.1s; total transactions: 434; average time: 2.04960
transaction time: 0.663s; total transactions: 435; average time: 2.04641
transaction time: 1.881s; total transactions: 436; average time: 2.04603
transaction time: 2.373s; total transactions: 437; average time: 2.04678
transaction time: 2.104s; total transactions: 438; average time: 2.04691
transaction time: 2.366s; total transactions: 439; average time: 2.04764
transaction time: 0.779s; total transactions: 440; average time: 2.04475
transaction time: 7.032s; total transactions: 441; average time: 2.05606
transaction time: 2.116s; total transactions: 442; average time: 2.05620
transaction time: 0.67s; total transactions: 443; average time: 2.05307
transaction time: 2.117s; total transactions: 444; average time: 2.05321
transaction time: 2.353s; total transactions: 445; average time: 2.05389
transaction time: 1.136s; total transactions: 446; average time: 2.05183
transaction time: 1.329s; total transactions: 447; average time: 2.05021
transaction time: 0.742s; total transactions: 448; average time: 2.04729
transaction time: 0.823s; total transactions: 449; average time: 2.04456
transaction time: 1.708s; total transactions: 450; average time: 2.04382
transaction time: 1.024s; total transactions: 451; average time: 2.04155
transaction time: 0.811s; total transactions: 452; average time: 2.03883
transaction time: 1.824s; total transactions: 453; average time: 2.03836
transaction time: 6.656s; total transactions: 454; average time: 2.04853
transaction time: 3.37s; total transactions: 455; average time: 2.05143
transaction time: 0.76s; total transactions: 456; average time: 2.04860
transaction time: 2.932s; total transactions: 457; average time: 2.05053
transaction time: 1.736s; total transactions: 458; average time: 2.04985
transaction time: 4.122s; total transactions: 459; average time: 2.05436
transaction time: 1.628s; total transactions: 460; average time: 2.05343
transaction time: 0.534s; total transactions: 461; average time: 2.05014
transaction time: 1.97s; total transactions: 462; average time: 2.04997
transaction time: 0.833s; total transactions: 463; average time: 2.04734
transaction time: 2.879s; total transactions: 464; average time: 2.04913
transaction time: 1.201s; total transactions: 465; average time: 2.04731
transaction time: 1.625s; total transactions: 466; average time: 2.04640
transaction time: 3.313s; total transactions: 467; average time: 2.04911
transaction time: 1.413s; total transactions: 468; average time: 2.04775
transaction time: 0.875s; total transactions: 469; average time: 2.04525
transaction time: 0.65s; total transactions: 470; average time: 2.04228
transaction time: 1.473s; total transactions: 471; average time: 2.04107
transaction time: 0.712s; total transactions: 472; average time: 2.03826
transaction time: 1.938s; total transactions: 473; average time: 2.03805
transaction time: 0.886s; total transactions: 474; average time: 2.03562
transaction time: 0.733s; total transactions: 475; average time: 2.03287
transaction time: 0.613s; total transactions: 476; average time: 2.02989
transaction time: 2.21s; total transactions: 477; average time: 2.03027
transaction time: 1.146s; total transactions: 478; average time: 2.02842
transaction time: 1.5s; total transactions: 479; average time: 2.02732
transaction time: 3.263s; total transactions: 480; average time: 2.02989
transaction time: 1.839s; total transactions: 481; average time: 2.02949
transaction time: 1.39s; total transactions: 482; average time: 2.02817
transaction time: 1.496s; total transactions: 483; average time: 2.02706
transaction time: 0.797s; total transactions: 484; average time: 2.02452
transaction time: 1.914s; total transactions: 485; average time: 2.02429
transaction time: 4.277s; total transactions: 486; average time: 2.02893
transaction time: 2.897s; total transactions: 487; average time: 2.03071
